Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-07-16,9.3,15.1,8.2,,,WNW,74.0,15:23,10.7,93,,NW,22,995.6,13.3,78,,WNW,24,996.0
2021-07-17,6.9,14.1,14.2,,,WSW,65.0,02:09,11.7,65,,WSW,20,1007.8,13.4,67,,SW,22,1011.8
2021-07-18,7.1,13.8,1.4,,,SW,19.0,00:31,10.0,92,,NNE,4,1019.7,12.2,72,,WNW,11,1018.4
2021-07-19,7.5,15.0,0.0,,,NW,33.0,13:13,8.5,90,,N,11,1018.9,14.6,67,,NW,20,1015.1
2021-07-20,8.5,13.7,7.4,,,WSW,50.0,06:21,11.2,89,,SW,17,1014.9,12.6,46,,SSW,28,1019.8
2021-07-21,4.2,12.8,1.0,,,NE,24.0,22:08,7.7,76,,NE,13,1025.9,11.4,66,,NNW,13,1021.3
2021-07-22,6.1,9.1,,,,,,,6.9,80,,NE,17,1008.5,8.8,74,,NNE,17,1001.5
2021-07-23,6.0,14.6,,,,,,,8.9,93,,N,6,1006.5,13.5,75,,W,9,1004.7
2021-07-24,8.6,12.8,10.8,,,WSW,72.0,20:16,8.6,88,,WSW,13,1002.6,10.4,71,,W,19,1001.2
2021-07-25,7.0,14.2,12.4,,,NW,46.0,12:28,11.4,81,,NW,13,1012.2,14.0,81,,NW,24,1012.0
2021-07-26,8.8,16.9,4.2,,,NW,39.0,13:05,10.9,79,,NNW,17,1015.2,16.4,56,,NW,19,1012.5
2021-07-27,10.7,19.2,0.0,,,N,56.0,11:50,14.8,45,,NNE,24,1004.5,18.0,37,,NNW,26,998.3
2021-07-28,11.7,15.3,2.8,,,WNW,76.0,09:51,13.0,79,,NNW,20,1004.5,14.4,54,,W,26,1007.8
2021-07-29,6.8,16.1,3.0,,,N,35.0,11:55,9.8,76,,NNE,11,1016.6,15.6,45,,NNW,20,1013.0
2021-07-30,9.7,19.8,0.0,,,N,43.0,00:58,14.9,50,,NNE,13,1007.0,18.9,49,,N,17,1003.3
2021-07-31,12.3,14.9,0.0,,,W,30.0,14:10,14.2,69,,NE,11,1004.7,11.5,96,,SW,13,1005.2
2021-08-1,8.4,15.1,12.2,,,NNW,26.0,13:37,9.9,93,,NE,11,1013.9,14.8,59,,NW,17,1013.1
2021-08-2,9.7,14.9,0.2,,,NNW,52.0,12:43,13.4,46,,NNE,19,1009.3,12.7,69,,NW,24,1007.3
2021-08-3,7.8,13.9,8.0,,,WSW,44.0,12:32,11.1,71,,SW,20,1017.0,13.2,57,,SW,19,1019.2
2021-08-4,9.7,15.4,1.2,,,WSW,31.0,13:38,12.7,83,,WSW,11,1024.7,14.1,78,,WSW,17,1025.1
2021-08-5,10.1,14.8,0.4,,,W,26.0,11:24,12.1,91,,W,11,1027.6,14.2,79,,WSW,11,1026.5
2021-08-6,11.1,15.8,1.2,,,W,28.0,14:18,12.3,95,,NW,9,1028.9,14.8,78,,W,11,1026.9
2021-08-7,10.4,15.7,0.4,,,WSW,24.0,13:51,12.2,83,, ,Calm,1030.9,15.0,60,,WSW,11,1029.6
2021-08-8,8.5,16.7,0.2,,,NNW,33.0,11:30,12.9,65,,NNE,13,1030.3,16.1,52,,NNW,15,1026.4
